tau,E_mean
1e-6,167.3614129154122
1e-6,205.36723785795698
1e-6,263.68531742689896
1e-6,167.3614129154122
1e-6,167.3614129154122
1e-6,167.3614129154122
1e-6,167.3614129154122
1e-6,167.3614129154122
1e-6,167.3614129154122
1e-6,167.3614129154122

1e-5,165.44515266510163
1e-4,258.8914517421689
1e-3,222.4938607535175
1e-2,180.69840382096024
